antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"fasole verde, telina",varza,0.03442340791738382,0.05748709122203098,0.03235800344234079,0.9400000000000001,16.351497005988026,1.0,0.030379101851220964,15.708548479632832,0.9723138771949785,0.5433526011560694,0.9363403944485026,0.7514371257485031
"ardei gras, fasole verde",varza,0.0351118760757315,0.05748709122203098,0.03201376936316695,0.9117647058823529,15.860338147234941,1.0,0.02999528974022473,10.681812966150313,0.9710448482616553,0.5284090909090908,0.9063829330125037,0.7343254667136315
"ardei gras, varza",fasole verde,0.03648881239242685,0.05783132530120482,0.03201376936316695,0.8773584905660377,15.170990566037734,1.0,0.029903572983845883,7.682298424467094,0.9694591386324609,0.5138121546961325,0.8698306229792983,0.715464959568733
"bors crud, varza",fasole verde,0.039931153184165236,0.05783132530120482,0.033734939759036145,0.8448275862068965,14.608477011494251,1.0,0.03142566824959044,6.071753681392232,0.9702914511089484,0.5268817204301074,0.8353029367669106,0.7140804597701149
"cartofi, fasole verde",varza,0.038898450946643716,0.05748709122203098,0.03201376936316695,0.8230088495575222,14.316411424937737,1.0,0.029777610565201548,5.3251979345955265,0.967795852974705,0.4973262032085561,0.8122135529454353,0.6899475385512162
"patrunjel radacina, varza",fasole verde,0.04165232358003442,0.05783132530120482,0.033046471600688465,0.7933884297520661,13.71900826446281,1.0,0.03063766252618045,4.5600963855421695,0.9674030172413792,0.4974093264248704,0.7807063896345459,0.6824085005903188
"cartofi, varza",fasole verde,0.04165232358003442,0.05783132530120482,0.03201376936316695,0.768595041322314,13.290289256198347,1.0,0.029604960288658937,4.071514629948365,0.9649494809047089,0.4744897959183673,0.7543911563906913,0.6610832349468713
"ardei gras, bors crud",varza,0.04509466437177281,0.05748709122203098,0.03442340791738382,0.7633587786259541,13.278785939571238,1.0,0.031831046833016845,3.9828771306423842,0.9683597692862292,0.5050505050505051,0.7489252198350609,0.6810805869177674
"ardei gras, patrunjel radacina",varza,0.04509466437177281,0.05748709122203098,0.03442340791738382,0.7633587786259541,13.278785939571238,1.0,0.031831046833016845,3.9828771306423842,0.9683597692862292,0.5050505050505051,0.7489252198350609,0.6810805869177674
"telina, varza",fasole verde,0.0423407917383821,0.05783132530120482,0.03235800344234079,0.7642276422764227,13.214769647696475,1.0,0.029909379341807853,3.996094723722475,0.9651941814399561,0.4771573604060914,0.7497556817000395,0.6618757259001161
"fasole verde, patrunjel radacina",varza,0.04475043029259897,0.05748709122203098,0.033046471600688465,0.7384615384615384,12.845693228926761,1.0,0.03047389953223269,3.603725827680469,0.9653528528528529,0.4776119402985074,0.7225094116986008,0.656655918931368
"ardei gras, bors crud",fasole verde,0.04509466437177281,0.05783132530120482,0.033390705679862305,0.7404580152671755,12.803753180661575,1.0,0.03078282147522966,3.6301204819277095,0.9654338147303013,0.4801980198019802,0.7245270494523729,0.658919483824064
"varza, verdeata",fasole verde,0.04612736660929432,0.05783132530120482,0.033390705679862305,0.7238805970149254,12.51710199004975,1.0,0.030723098936192274,3.4121784435037443,0.9646039428990242,0.473170731707317,0.7069320914608542,0.6506307746979388
"ardei gras, patrunjel radacina",fasole verde,0.04509466437177281,0.05783132530120482,0.03235800344234079,0.7175572519083969,12.407760814249363,1.0,0.029750119237708147,3.3357863887984367,0.962823482489377,0.4585365853658536,0.7002206126393471,0.6385405307161032
