COUNTRY,SUBJECT,SURVEY_DAY,items,length
LAO,LAO_1,1,"{'monosodium glutamate', 'chicken, meat', 'ginger root, mature', 'striped snakehead fish, boiled', 'fish sauce, grade 1', 'num pia (thai)', 'seasoning (ros-dee brand)', 'mint leaves', 'soup, fish broth', 'fermented fish, liquid part (fermented for 3 -12 months)', 'tap water', 'roasted uncooked rice', 'mango (kaew variety), ripe', 'shallot spring', 'lemon grass', 'rice glutinous, polished, steamed', 'celery', 'galangal tuber', 'chilli bird ground', 'refined salt', 'gandaria marian plum / ma-prang (thai)', 'beef meat lean, boiled', 'seasoning sauce, grade 1', 'neem leaves and tips', 'coriander', 'kalanchoe', 'banana (khai variety)', 'soup, chicken broth'}",28
LAO,LAO_10,1,"{'crawdaisy leaves', 'monosodium glutamate', 'hen egg, white', 'lettuce', 'seasoning (ros-dee brand)', 'shallot spring', 'coriander', 'hen egg, yolk', 'rice glutinous, polished, steamed', 'windbetal leaves', 'sugar, white', 'tomato cherry small', 'fish sauce, grade 1', 'tap water', 'nile tilapia salt coat , grilled', 'sweet basil leaves', 'refined salt'}",17
LAO,LAO_100,1,"{'yoghurt drinking uht different flavours', 'fowl meat', 'lemon grass', 'rice glutinous, polished, steamed', 'chilli bird', 'shrimp cracker from wheat flour', 'tap water', 'refined salt'}",8
LAO,LAO_1000,1,"{'monosodium glutamate', 'mushroom straw', 'soybean oil', 'oyster sauce', 'sapodilla common', 'garlic, dried bulbs', 'hairy basil leaves', 'shallot bulbs', 'fermented fish, liquid part (fermented for 3 -12 months)', 'soup, beef spare ribs broth', 'jelly with coconut cream  pandanus leaves flavoured / wun-ka-thi (thai)', 'tap water', 'toffee candy', 'gunthers walking catfish, boiled', 'crisp eggplant', 'rice glutinous, polished, steamed', 'lemon grass', 'beef meat lean', 'chilli bird ground', 'mushroom indian oyster', 'refined salt', 'beef meat lean, boiled', 'rice polished, steamed', 'alcoholic beverage, beer, regular', 'windbetal leaves', 'gourd bottle'}",26
LAO,LAO_1000,2,"{'monosodium glutamate', 'pepsi', 'oyster sauce', 'soybean oil', 'common carp / pla nai (thai)', 'sapodilla common', 'chilli bird', 'beef meat lean, grilled', 'garlic, dried bulbs', 'hairy basil leaves', 'soup, fish broth', 'fermented fish, liquid part (fermented for 3 -12 months)', 'soup, beef spare ribs broth', 'tap water', 'mushroom oyster', 'soup, pork broth', 'lemon grass', 'rice glutinous, polished, steamed', 'water melon', 'tomato cherry small', 'beef meat lean', 'mushroom indian oyster', 'refined salt', 'pork tenderloin, boiled (fat 2.2%)', 'rice polished, steamed', 'alcoholic beverage, beer, regular', 'kalanchoe', 'gourd bottle', 'nile tilapia, fried'}",29
LAO,LAO_1001,1,"{'monosodium glutamate', 'lettuce', 'sugar, white', 'chilli bird', 'buffalo meat', 'bitter orange; leech leaves, semi-dried', 'bamboo shoot, pickled', 'garlic, dried bulbs', 'papaya, unripe', 'shallot bulbs', 'mint leaves', 'soup, fish broth', 'lemon juice 100%', 'fermented fish, liquid part (fermented for 3 -12 months)', 'tap water', 'gunthers walking catfish, boiled', 'soup, pork broth', 'alcoholic beverage, distilled, whiskey, 86 proof', 'shallot spring', 'lemon grass', 'rice glutinous, polished, steamed', 'tomato cherry small', 'sardines, canned in tomato sauce', 'peanut, roasted without shell', 'rice noodles fermented / ka-nom-jeen (thai)', 'chilli bird ground', 'refined salt', 'pork tenderloin, boiled (fat 2.2%)', 'nile tilapia, boiled', 'hen egg whole, boiled'}",30
LAO,LAO_1002,1,"{'mango (kaew variety), ripe', 'seasoning sauce, grade 1', 'pork sausage, dried / kun-chieng (thai) (fat 29.3%)', 'fish based snack with seasoning', 'rice glutinous, polished, steamed', 'omlet hen egg', 'fanta strawberry', 'orange flavored water (sugar 13%)', 'tap water', 'short bodied mackerel, steamed, fried', 'toffee candy', 'hen egg whole, boiled'}",12
LAO,LAO_1002,2,"{'soup, pork broth', 'monosodium glutamate', 'pork ball, blanch', 'short bodied mackerel, steamed', 'rice glutinous, polished, steamed', 'sugar, white', 'milk whole uht, natural', 'mirinda strawberry', 'rice noodle sheet vietnamese style, raw, wet form (guay-jub)', 'tap water', 'refined salt', 'hen egg whole, boiled'}",12
LAO,LAO_1003,1,"{'common silver barb, fried', 'banana (nam-wa variety), ripe', 'seasoning sauce, grade 1', 'rice polished, steamed', 'pork, sundried, grilled', 'rice glutinous, polished, steamed', 'snack from flour (corn, wheat, potato)', 'soybean oil', 'hen egg, fried', 'shrimp cracker from wheat flour', 'tap water'}",11
LAO,LAO_1004,1,"{'coffee 3 in 1 instant coffee mix (nescafee brand)', 'monosodium glutamate', 'seasoning sauce, grade 1', 'beef meat medium fat', 'rice glutinous, polished, steamed', 'chilli bird', 'fermented fish, liquid part (fermented for 3 -12 months)', 'bamboo shoot hairy', 'tiliacora triandra diels, squeezed, boiled / nam-bai-ya-nang (thai)', 'shallot bulbs, grilled', 'tap water', 'nile tilapia salt coat , grilled', 'acacia pennata / cha-om (thai)', 'refined salt'}",14
