antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
supa de oase,rosii in bulion,0.06614785992217899,0.06614785992217899,0.06614785992217899,1.0,15.117647058823529,1.0,0.061772320549894774,inf,1.0,1.0,1.0,1.0
rosii in bulion,supa de oase,0.06614785992217899,0.06614785992217899,0.06614785992217899,1.0,15.117647058823529,1.0,0.061772320549894774,inf,1.0,1.0,1.0,1.0
"carne, supa de oase",rosii in bulion,0.06614785992217899,0.06614785992217899,0.06614785992217899,1.0,15.117647058823529,1.0,0.061772320549894774,inf,1.0,1.0,1.0,1.0
"carne, rosii in bulion",supa de oase,0.06614785992217899,0.06614785992217899,0.06614785992217899,1.0,15.117647058823529,1.0,0.061772320549894774,inf,1.0,1.0,1.0,1.0
"orez, supa de oase",rosii in bulion,0.06614785992217899,0.06614785992217899,0.06614785992217899,1.0,15.117647058823529,1.0,0.061772320549894774,inf,1.0,1.0,1.0,1.0
"orez, rosii in bulion",supa de oase,0.06614785992217899,0.06614785992217899,0.06614785992217899,1.0,15.117647058823529,1.0,0.061772320549894774,inf,1.0,1.0,1.0,1.0
"bors crud, supa de oase",rosii in bulion,0.06614785992217899,0.06614785992217899,0.06614785992217899,1.0,15.117647058823529,1.0,0.061772320549894774,inf,1.0,1.0,1.0,1.0
"bors crud, rosii in bulion",supa de oase,0.06614785992217899,0.06614785992217899,0.06614785992217899,1.0,15.117647058823529,1.0,0.061772320549894774,inf,1.0,1.0,1.0,1.0
"patrunjel radacina, supa de oase",rosii in bulion,0.06614785992217899,0.06614785992217899,0.06614785992217899,1.0,15.117647058823529,1.0,0.061772320549894774,inf,1.0,1.0,1.0,1.0
"patrunjel radacina, rosii in bulion",supa de oase,0.06614785992217899,0.06614785992217899,0.06614785992217899,1.0,15.117647058823529,1.0,0.061772320549894774,inf,1.0,1.0,1.0,1.0
"ou (crud), supa de oase",rosii in bulion,0.06614785992217899,0.06614785992217899,0.06614785992217899,1.0,15.117647058823529,1.0,0.061772320549894774,inf,1.0,1.0,1.0,1.0
"ou (crud), rosii in bulion",supa de oase,0.06614785992217899,0.06614785992217899,0.06614785992217899,1.0,15.117647058823529,1.0,0.061772320549894774,inf,1.0,1.0,1.0,1.0
"supa de oase, verdeata",rosii in bulion,0.06614785992217899,0.06614785992217899,0.06614785992217899,1.0,15.117647058823529,1.0,0.061772320549894774,inf,1.0,1.0,1.0,1.0
"rosii in bulion, verdeata",supa de oase,0.06614785992217899,0.06614785992217899,0.06614785992217899,1.0,15.117647058823529,1.0,0.061772320549894774,inf,1.0,1.0,1.0,1.0
"morcovi, supa de oase",rosii in bulion,0.06614785992217899,0.06614785992217899,0.06614785992217899,1.0,15.117647058823529,1.0,0.061772320549894774,inf,1.0,1.0,1.0,1.0
"morcovi, rosii in bulion",supa de oase,0.06614785992217899,0.06614785992217899,0.06614785992217899,1.0,15.117647058823529,1.0,0.061772320549894774,inf,1.0,1.0,1.0,1.0
"ceapa, supa de oase",rosii in bulion,0.06614785992217899,0.06614785992217899,0.06614785992217899,1.0,15.117647058823529,1.0,0.061772320549894774,inf,1.0,1.0,1.0,1.0
"ceapa, rosii in bulion",supa de oase,0.06614785992217899,0.06614785992217899,0.06614785992217899,1.0,15.117647058823529,1.0,0.061772320549894774,inf,1.0,1.0,1.0,1.0
"sare, supa de oase",rosii in bulion,0.06614785992217899,0.06614785992217899,0.06614785992217899,1.0,15.117647058823529,1.0,0.061772320549894774,inf,1.0,1.0,1.0,1.0
"rosii in bulion, sare",supa de oase,0.06614785992217899,0.06614785992217899,0.06614785992217899,1.0,15.117647058823529,1.0,0.061772320549894774,inf,1.0,1.0,1.0,1.0
"paine, supa de oase",rosii in bulion,0.05966277561608301,0.06614785992217899,0.05966277561608301,1.0,15.117647058823529,1.0,0.05571621069206196,inf,0.993103448275862,0.9019607843137257,1.0,0.9509803921568627
"paine, rosii in bulion",supa de oase,0.05966277561608301,0.06614785992217899,0.05966277561608301,1.0,15.117647058823529,1.0,0.05571621069206196,inf,0.993103448275862,0.9019607843137257,1.0,0.9509803921568627
"fasole boabe, telina",pastarnac,0.0609597924773022,0.0648508430609598,0.05317769130998703,0.8723404255319149,13.451489361702127,1.0,0.04922439737501282,7.325335062689151,0.9857498989354534,0.7321428571428572,0.8634874730722697,0.8461702127659574
"fasole boabe, patrunjel radacina",pastarnac,0.06355382619974059,0.0648508430609598,0.05317769130998703,0.8367346938775511,12.902448979591837,1.0,0.04905617210118414,5.727788586251623,0.9851023579487873,0.7068965517241381,0.8254125505958279,0.8283673469387756
"bors crud, fasole boabe",pastarnac,0.0622568093385214,0.0648508430609598,0.05188067444876784,0.8333333333333334,12.85,1.0,0.047843267876879286,5.610894941634243,0.983402489626556,0.6896551724137933,0.8217753120665743,0.8166666666666667
"carne de pasare, taitei",bulion de gaina,0.08171206225680934,0.07911802853437094,0.07911802853437094,0.9682539682539681,12.238095238095237,1.0,0.0726531312611344,29.007782101167216,1.0,0.9682539682539684,0.9655264922870556,0.9841269841269841
"bors crud, carne",supa de oase,0.08430609597924774,0.06614785992217899,0.06614785992217899,0.7846153846153846,11.861538461538462,1.0,0.060571192094757934,4.33574207893274,1.0,0.7846153846153845,0.7693589743589744,0.8923076923076922
"bors crud, carne",rosii in bulion,0.08430609597924774,0.06614785992217899,0.06614785992217899,0.7846153846153846,11.861538461538462,1.0,0.060571192094757934,4.33574207893274,1.0,0.7846153846153845,0.7693589743589744,0.8923076923076922
"bors crud, pastarnac",fasole boabe,0.055771725032425425,0.07911802853437094,0.05188067444876784,0.9302325581395349,11.757529546321006,1.0,0.047468125516241313,13.199308257674016,0.9689903846153847,0.6250000000000002,0.924238453979692,0.7929851315287839
"carne, orez",supa de oase,0.08560311284046693,0.06614785992217899,0.06614785992217899,0.7727272727272727,11.681818181818182,1.0,0.060485397205105304,4.108949416342412,1.0000000000000002,0.7727272727272726,0.7566287878787878,0.8863636363636364
"carne, patrunjel radacina",supa de oase,0.08560311284046693,0.06614785992217899,0.06614785992217899,0.7727272727272727,11.681818181818182,1.0,0.060485397205105304,4.108949416342412,1.0000000000000002,0.7727272727272726,0.7566287878787878,0.8863636363636364
"carne, orez",rosii in bulion,0.08560311284046693,0.06614785992217899,0.06614785992217899,0.7727272727272727,11.681818181818182,1.0,0.060485397205105304,4.108949416342412,1.0000000000000002,0.7727272727272726,0.7566287878787878,0.8863636363636364
"carne, patrunjel radacina",rosii in bulion,0.08560311284046693,0.06614785992217899,0.06614785992217899,0.7727272727272727,11.681818181818182,1.0,0.060485397205105304,4.108949416342412,1.0000000000000002,0.7727272727272726,0.7566287878787878,0.8863636363636364
"fasole boabe, verdeata",pastarnac,0.06874189364461739,0.0648508430609598,0.05188067444876784,0.7547169811320754,11.637735849056602,1.0,0.04742270469230757,3.8125311782899325,0.9815459610027855,0.6349206349206349,0.7377070630413733,0.7773584905660377
"ceapa, pastarnac",fasole boabe,0.058365758754863814,0.07911802853437094,0.05317769130998703,0.9111111111111111,11.515846994535519,1.0,0.0485599075433895,10.359922178988326,0.9697641604515218,0.6307692307692307,0.9034741784037558,0.7916211293260473
"pastarnac, telina",fasole boabe,0.05966277561608301,0.07911802853437094,0.05317769130998703,0.8913043478260869,11.265502494654312,1.0,0.048457290126354004,8.472114137483786,0.9690496215306981,0.6212121212121212,0.8819657072872015,0.7817177476835353
"pastarnac, patrunjel radacina",fasole boabe,0.0609597924773022,0.07911802853437094,0.05317769130998703,0.8723404255319149,11.02581095221486,1.0,0.0483546727093185,7.21357544314743,0.9683331087454521,0.6119402985074627,0.8613724902607133,0.7722357865364493
"smantana, taitei",bulion de gaina,0.0907911802853437,0.07911802853437094,0.07911802853437094,0.8714285714285714,11.014285714285714,1.0,0.0719348093418859,7.162415333621561,1.0,0.8714285714285713,0.8603822937625755,0.9357142857142857
"apa, fasole boabe",pastarnac,0.07522697795071336,0.0648508430609598,0.05317769130998703,0.7068965517241379,10.900344827586206,1.0,0.048299158368955035,3.1905088883802546,0.9821434679984948,0.6119402985074627,0.6865703763929408,0.7634482758620689
"fasole boabe, morcovi",pastarnac,0.07652399481193256,0.0648508430609598,0.05317769130998703,0.6949152542372881,10.715593220338981,1.0,0.04821504573204069,3.065211125522409,0.9818100849547822,0.6029411764705883,0.6737581983591527,0.757457627118644
"apa, pastarnac",fasole boabe,0.06355382619974059,0.07911802853437094,0.05317769130998703,0.8367346938775511,10.575777852124457,1.0,0.0481494378752475,5.64040207522698,0.9668941287750829,0.5942028985507247,0.8227076746191435,0.7544329207092673
"pastarnac, verdeata",fasole boabe,0.0622568093385214,0.07911802853437094,0.05188067444876784,0.8333333333333334,10.532786885245903,1.0,0.04695503843106381,5.525291828793776,0.9651452282157676,0.5797101449275364,0.8190140845070422,0.744535519125683
"ardei, fasole verde",dovlecel,0.05966277561608301,0.08300907911802853,0.05188067444876784,0.8695652173913043,10.47554347826087,1.0,0.04692812238725122,7.030263726761779,0.9619310344827587,0.5714285714285716,0.8577578254719882,0.7472826086956522
"carne, ou (crud)",supa de oase,0.0959792477302205,0.06614785992217899,0.06614785992217899,0.6891891891891891,10.418918918918918,1.0,0.05979903808788425,3.004567755032989,1.0,0.6891891891891891,0.6671734234234233,0.8445945945945945
"carne, ou (crud)",rosii in bulion,0.0959792477302205,0.06614785992217899,0.06614785992217899,0.6891891891891891,10.418918918918918,1.0,0.05979903808788425,3.004567755032989,1.0,0.6891891891891891,0.6671734234234233,0.8445945945945945
pastarnac,fasole boabe,0.0648508430609598,0.07911802853437094,0.05317769130998703,0.82,10.364262295081968,1.0,0.048046820458212,5.116010952586827,0.9661716450729002,0.5857142857142859,0.8045352112676055,0.7460655737704918
"pastarnac, sare",fasole boabe,0.0648508430609598,0.07911802853437094,0.05317769130998703,0.82,10.364262295081968,1.0,0.048046820458212,5.116010952586827,0.9661716450729002,0.5857142857142859,0.8045352112676055,0.7460655737704918
"morcovi, pastarnac",fasole boabe,0.0648508430609598,0.07911802853437094,0.05317769130998703,0.82,10.364262295081968,1.0,0.048046820458212,5.116010952586827,0.9661716450729002,0.5857142857142859,0.8045352112676055,0.7460655737704918
fasole boabe,pastarnac,0.07911802853437094,0.0648508430609598,0.05317769130998703,0.6721311475409836,10.364262295081966,1.0,0.048046820458212,2.8522049286640723,0.9811405015458604,0.5857142857142859,0.6493940565244083,0.7460655737704918
"ceapa, fasole boabe",pastarnac,0.07911802853437094,0.0648508430609598,0.05317769130998703,0.6721311475409836,10.364262295081966,1.0,0.048046820458212,2.8522049286640723,0.9811405015458604,0.5857142857142859,0.6493940565244083,0.7460655737704918
"fasole boabe, sare",pastarnac,0.07911802853437094,0.0648508430609598,0.05317769130998703,0.6721311475409836,10.364262295081966,1.0,0.048046820458212,2.8522049286640723,0.9811405015458604,0.5857142857142859,0.6493940565244083,0.7460655737704918
"carne, verdeata",supa de oase,0.10376134889753567,0.06614785992217899,0.06614785992217899,0.6375,9.6375,1.0,0.059284268749968456,2.576143834697437,0.9999999999999999,0.6375,0.6118229166666667,0.81875
"carne, verdeata",rosii in bulion,0.10376134889753567,0.06614785992217899,0.06614785992217899,0.6375,9.6375,1.0,0.059284268749968456,2.576143834697437,0.9999999999999999,0.6375,0.6118229166666667,0.81875
"ardei, bors crud",dovlecel,0.08560311284046693,0.08300907911802853,0.06744487678339818,0.7878787878787878,9.491477272727273,1.0,0.060339041216874334,4.322957198443579,0.9783960720130933,0.6666666666666665,0.7686768676867687,0.8001893939393939
"ardei, patrunjel radacina",dovlecel,0.08949416342412451,0.08300907911802853,0.06874189364461739,0.7681159420289856,9.253396739130435,1.0,0.061313065552342456,3.954523346303503,0.9796000645057248,0.6625000000000001,0.7471250230613125,0.7981204710144929
"carne, morcovi",supa de oase,0.11154345006485085,0.06614785992217899,0.06614785992217899,0.5930232558139534,8.965116279069766,1.0,0.058769499412052666,2.2946081156197886,1.0,0.5930232558139534,0.5641957364341085,0.7965116279069767
"carne, morcovi",rosii in bulion,0.11154345006485085,0.06614785992217899,0.06614785992217899,0.5930232558139534,8.965116279069766,1.0,0.058769499412052666,2.2946081156197886,1.0,0.5930232558139534,0.5641957364341085,0.7965116279069767
"branza telemea, condimente",paste fainoase,0.08300907911802853,0.10116731517509728,0.07392996108949416,0.890625,8.803485576923077,1.0,0.06553215541996599,8.217898832684826,0.9666492965085982,0.6705882352941176,0.8783143939393939,0.8106971153846154
"carne, ceapa",supa de oase,0.11413748378728923,0.06614785992217899,0.06614785992217899,0.5795454545454546,8.761363636363637,1.0,0.05859790963274741,2.2210537385634663,1.0000000000000002,0.5795454545454546,0.5497632575757576,0.7897727272727273
"carne, ceapa",rosii in bulion,0.11413748378728923,0.06614785992217899,0.06614785992217899,0.5795454545454546,8.761363636363637,1.0,0.05859790963274741,2.2210537385634663,1.0000000000000002,0.5795454545454546,0.5497632575757576,0.7897727272727273
"carne, paine",supa de oase,0.10635538261997406,0.06614785992217899,0.05966277561608301,0.5609756097560976,8.480631276901004,1.0,0.05262759466456722,2.1271076523994816,0.9870637975642077,0.5287356321839082,0.5298780487804878,0.7314681970349115
"carne, paine",rosii in bulion,0.10635538261997406,0.06614785992217899,0.05966277561608301,0.5609756097560976,8.480631276901004,1.0,0.05262759466456722,2.1271076523994816,0.9870637975642077,0.5287356321839082,0.5298780487804878,0.7314681970349115
supa de oase,carne,0.06614785992217899,0.11932555123216602,0.06614785992217899,1.0,8.380434782608695,1.0,0.05825473007413688,inf,0.9430555555555556,0.5543478260869565,1.0,0.7771739130434783
"orez, supa de oase",carne,0.06614785992217899,0.11932555123216602,0.06614785992217899,1.0,8.380434782608695,1.0,0.05825473007413688,inf,0.9430555555555556,0.5543478260869565,1.0,0.7771739130434783
"bors crud, supa de oase",carne,0.06614785992217899,0.11932555123216602,0.06614785992217899,1.0,8.380434782608695,1.0,0.05825473007413688,inf,0.9430555555555556,0.5543478260869565,1.0,0.7771739130434783
"patrunjel radacina, supa de oase",carne,0.06614785992217899,0.11932555123216602,0.06614785992217899,1.0,8.380434782608695,1.0,0.05825473007413688,inf,0.9430555555555556,0.5543478260869565,1.0,0.7771739130434783
"ou (crud), supa de oase",carne,0.06614785992217899,0.11932555123216602,0.06614785992217899,1.0,8.380434782608695,1.0,0.05825473007413688,inf,0.9430555555555556,0.5543478260869565,1.0,0.7771739130434783
"supa de oase, verdeata",carne,0.06614785992217899,0.11932555123216602,0.06614785992217899,1.0,8.380434782608695,1.0,0.05825473007413688,inf,0.9430555555555556,0.5543478260869565,1.0,0.7771739130434783
"morcovi, supa de oase",carne,0.06614785992217899,0.11932555123216602,0.06614785992217899,1.0,8.380434782608695,1.0,0.05825473007413688,inf,0.9430555555555556,0.5543478260869565,1.0,0.7771739130434783
