SUBJECT,SURVEY_DAY,ADM0_NAME,items,length
1,1,Romania,"['bors crud', 'carne', 'carne de porc', 'cartofi pai', 'ceai', 'ceapa', 'compot', 'morcovi', 'napolitana', 'orez', 'ou (crud)', 'paine', 'parizer', 'pasta de rosii', 'patrunjel radacina', 'piper', 'rosii in bulion', 'sare', 'supa de oase', 'ulei', 'unt', 'varza', 'verdeata']",23
2,1,Romania,"['apa', 'ardei', 'bors crud', 'cafea preparata', 'carne la cuptor', 'ceapa', 'cereale', 'cirese', 'dovlecel', 'fasole verde', 'lapte', 'morcovi', 'orez fiert', 'patrunjel radacina', 'rosie', 'sare', 'verdeata']",17
3,1,Romania,"['carne de pui', 'cartofi', 'ceapa', 'faina', 'gris', 'lapte', 'morcovi', 'ou (crud)', 'paine', 'pasta de rosii', 'patrunjel', 'pesmet', 'piper', 'sare', 'ulei', 'unt', 'zahar']",17
4,1,Romania,"['apa', 'arome', 'biscuiti', 'cartofi pai', 'faina', 'praf de copt', 'smantana', 'snacks', 'ulei']",9
5,1,Romania,"['apa', 'ardei gras', 'bors crud', 'bulion de rosii', 'carne de porc', 'carne de vita', 'cartofi', 'cascaval', 'ceapa', 'fructe', 'gem de piersici', 'iaurt', 'morcovi', 'muschi preparat', 'orez', 'paine', 'patrunjel radacina', 'piper', 'ridichi', 'rosie', 'sare', 'ulei', 'unt', 'varza murata', 'verdeata']",25
6,1,Romania,"['apa', 'branza', 'carne de vitel', 'cas afumat', 'ceapa', 'condimente', 'crenvursti', 'drojdie', 'faina', 'mar', 'morcovi', 'orez', 'ou (crud)', 'ou fiert', 'paine', 'pasta de rosii', 'pate', 'patrunjel radacina', 'rosie', 'sare', 'suc', 'telina', 'ulei', 'verdeata', 'zeama de lamaie']",25
7,1,Romania,"['apa', 'branza topita', 'bulion de carne', 'cacao', 'ceapa', 'cereale', 'ciocolata (baton)', 'crenvursti', 'faina', 'iaurt', 'iaurt actimel', 'lapte', 'morcovi', 'orez', 'ou (crud)', 'paine', 'piper', 'salam', 'sare', 'ulei', 'unt', 'zahar']",22
8,1,Romania,"['biscuiti cu crema eugenia', 'cabanos', 'carne de porc', 'cartofi', 'ceapa', 'faina', 'fidea', 'lapte', 'marar', 'mazare verde', 'morcovi', 'paine', 'pasta de rosii', 'patrunjel', 'piper', 'sare', 'ulei', 'zahar']",18
9,1,Romania,"['branza topita', 'carne de porc', 'cartofi', 'ceapa', 'macrou preparat', 'mar', 'morcovi', 'paine', 'pasta de rosii', 'patrunjel', 'piper', 'salam', 'sare', 'suc', 'ulei']",15
10,1,Romania,"['aripi de pui la gratar', 'bors crud', 'carne', 'carne de porc', 'cartofi pai', 'cascaval', 'ceapa', 'faina', 'margarina', 'morcovi', 'orez', 'ou (crud)', 'paine', 'patrunjel radacina', 'pesmet', 'rosie', 'rosii in bulion', 'salam', 'sare', 'supa de oase', 'ulei', 'verdeata']",22
11,1,Romania,"['apa', 'ardei', 'bors crud', 'ceapa', 'dovlecel', 'fasole verde', 'lapte', 'morcovi', 'ou (crud)', 'ou ochi', 'paine', 'parizer pui', 'patrunjel radacina', 'piersica', 'rosie', 'sare', 'telemea de oaie', 'unt', 'vanilie', 'verdeata', 'zahar']",21
12,1,Romania,"['ardei gras', 'carne de pui', 'cartofi', 'corn', 'fasole verde', 'paine', 'peste preparat', 'sare', 'suc de portocale', 'ulei', 'zeama de lamaie']",11
13,1,Romania,"['apa', 'apa plata', 'ardei', 'bors crud', 'branza vaci', 'cacao', 'cartofi', 'cartofi preparati', 'ceai', 'ceapa', 'ciuperci', 'lamaie', 'lapte', 'morcovi', 'paine', 'para', 'patrunjel', 'patrunjel radacina', 'piper', 'rosie', 'sare', 'ulei', 'vinete', 'zahar']",24
14,1,Romania,"['apa', 'apa plata', 'biscuiti', 'bors crud', 'branza telemea', 'cacao', 'carne', 'carne de pui la gratar', 'cartofi pai', 'ceapa', 'cereale', 'lapte', 'mar', 'miere de albine', 'morcovi', 'orez', 'ou (crud)', 'paine', 'patrunjel radacina', 'rosie', 'rosii in bulion', 'sare', 'supa de oase', 'telina', 'ulei', 'verdeata', 'vinete', 'zahar']",28
15,1,Romania,"['apa', 'bors crud', 'carne de porc', 'cartofi', 'ceai', 'ceapa', 'jumari', 'mamaliga', 'morcovi', 'paine', 'patrunjel radacina', 'rosie', 'salam', 'sare', 'unt', 'verdeata']",16
16,1,Romania,"['ardei gras', 'bulion de gaina', 'carne de pasare', 'ceapa', 'iaurt', 'mar', 'morcovi', 'paine graham', 'sare', 'smantana', 'taitei', 'telina', 'ulei', 'verdeata']",14
17,1,Romania,"['apa', 'bors crud', 'ceapa', 'costita afumata', 'fasole boabe', 'marar', 'morcovi', 'otet', 'paine', 'pasta de rosii', 'pastarnac', 'patrunjel radacina', 'piper', 'sare', 'strugure', 'telina', 'ulei', 'varza', 'verdeata', 'vinete']",20
